#8203	552889
(nol1)	55695
1-8d	10581
1-8u	10410
1-cys	25824
10-fthf	10840
101f10.1	400506
101f6	11068
103as	3805
10c	64333
11b6	10916
12-heter	2853
123f2	11186
12cc4	27086
12r-lox	242
12s-lox	239
133k02	10827
13cdna73	10129
14-3-3	10971
14-3-3-zeta	7534
14.1	3543
15-lox-1	246
15-lox-2	247
15.212	3805
156dag	1605
15e1.2	283459
16.3a5	966
16a	537
16e1bp	9319
17-1a	4072
17-beta-hsd11	51170
17-beta-hsdxi	51170
1700010h15rik	1770
170a	6499
17b-hsd10	3028
182-fip	57532
18a2	6275
19a	57823
1a1-3b	4077
1c7	259197
1d	25802
1r20	5996
2'-pde	201626
2-19	60343
2-21	54097
2-cop	26958
2-hpcl	26061
209l8	10994
20d7-fc4	23403
21-garp	6450
2310005p21rik	114899
2310047h23rik	79770
239ab	758
239fb	744
24b2	342667
24p3	3934
2610509l04rik	56478
26rfa	347148
2700066j21rik	9724
2a9	6277
2b28	51035
2b4	51744
2c18	55435
2c4d	25843
2e4	11133
2f1	10219
2h9	3189
2hor0202	10284
2ost	10090
2p1	25915
2pp2a	6418
3'hexo	90459
3'oy11.1	129025
3-10c	3576
3-alpha-hsd	1109
3-ost-5	64711
3-pap	54545
30k	826
30st3a1	9955
30st3b1	9953
323/a3	4072
37lrp	3921
384d8-2	29781
39k2	27067
3alpha-hsd	10170
3d3	92140
3g2	10180
3h11ag	80184
3m3	83987
3ost1	9957
3ost2	9956
3ost3a1	9955
3ost3b1	9953
3ost4	9951
3pap	54545
3pk	7867
3pk	7867
4-1bb	3604
4-1bb-l	8744
4-hppd	3242
4-hppd-l	84842
4.1-g	2037
4.1b	23136
4.1r	2035
42a	6275
42c	6281
47.11	3802
4832404p21rik	23053
4833431a01rik	55145
4930513o09rik	389874
4933409d10rik	64397
4e-bp1	1978
4e-bp3	8637
4e-t	56478
4ehp	9470
4f2	6520
4f2hc	6520
4f5	8293
4f5rel	10169
4hppd	3242
4p11	9946
4t2hc	6520
5'oy11.1	140883
5-ht(2b)	3357
5-ht1a	3350
5-ht1b	3351
5-ht1d	3352
5-ht1db	3351
5-ht1e	3354
5-ht1f	3355
5-ht2a	3356
5-ht2b	3357
5-ht2c	3358
5-ht3a	3359
5-ht3b	9177
5-ht3r	3359
5-ht4	3360
5-ht5a	3361
5-ht6	3362
5-ht6r	3362
5-ht7	3363
5-htt	6532
5-lox	240
5-opase	26873
53bp1	7158
53bp2	7159
54tm	10897
59-dap	6641
5htr2c	3358
5ptase	3632
5t4	7162
5t4-ag	7162
6-16	2537
6.3	55558
60b8ag	6279
64kd	25802
6530404f10rik	130535
6a3-5	57492
6c6-ag	10134
6ckine	6366
6pgl	25796
7-60	11054
71-7a	8481
721p	8227
753p9	54440
76p	27229
7a5	346389
7b2	6447
7b4	1003
7h3	85360
80k-l	4082
82-fip	57532
87u6	2773
8b	23345
8d6	51293
8d6a	51293
8hs20	29802
9-27	8519
90k	3959
9630046k23rik	56983
9f	9130
9g8	10569
a-152e5.1	6367
a-2	27239
a-923a4.1	123876
a-fabp	2167
a-lap	51752
a-myb	4603
a-scid	64421
a1	535
a1	5981
a1-5	7549
a121	10209
a14galt	53947
a15	7102
a170	8878
a1a	5265
a1at	5265
a1b	6641
a1bg	1
a1cf	29974
a1s9t	7317
a1u	56893
a2	23545
a2	170589
a20	7128
a211c6.1	57149
a214n16.3	158471
a26b1	100996331
a26b2	388468
a26b3	317754
a26c1	445582
a26c1a	445582
a26c1b	728378
a26c2	404785
a26c3	23784
a28-rgs14	6004
a2ap	5345
a2bp1	54715
a2d	11273
a2hs	197
a2ld1	87769
a2lp	11273
a2m	2
a2ml1	144568
a2mr	10438
a2mrap	4043
a3	10312
a33	10223
a3a	1605
a3b	6443
a3galnt	28
a3galt1	28
a3galt2	127550
a3galt2p	127550
a4	50617
a4	5355
a4-lsb	5355
a4galt	53947
a4gnt	51146
a6	5756
a6l	106479042
a6r	11344
a6rp	11344
a8-51	7551
aa	7003
aaas	8086
aaat	6510
aac-11	8539
aac1	1982
aac11	8539
aac2	81539
aacs	65985
aact	12
aadac	13
aadacl1	57552
aadacl2	344752
aadacl3	126767
aadacl4	343066
aadat	51166
aadc	1644
aaf132	80169
aag3	6432
aagab	79719
aair8193	139322
aak1	22848
aakg	51422
aakg2	51422
aamdc	28971
aamp	14
aanat	15
aap	5345
aap1	23429
aar2	25980
aard	441376
aars	16
aars2	57505
aarsd1	80755
aarsl	57505
aasd-ppt	60496
aasdh	132949
aasdhppt	60496
aass	10157
aat	5265
aat1	89876
aat1alpha	89876
aatf	26574
aatk	9625
aatyk	9625
aatyk1	9625
aatyk2	22853
abad	3028
abat	18
abba-1	92154
abbp1	3182
abc-c	21
abc1	19
abc16	8647
abc2	20
abc20	5243
abc28	10061
abc3	21
abc35	1080
abc36	6833
abc50	23
abc7	22
abc8	9619
abca1	19
abca10	10349
abca12	26154
abca13	154664
abca2	20
abca3	21
abca4	24
abca5	23461
abca6	23460
abca7	10347
abca8	10351
abca9	10350
abcb1	5243
abcb10	23456
abcb11	8647
abcb2	6890
abcb3	266629
abcb4	5244
abcb5	340273
abcb5alpha	340273
abcb5beta	340273
abcb6	10058
abcb7	22
abcb8	11194
abcb9	23457
abcc1	4363
abcc10	89845
abcc11	85320
abcc12	94160
abcc2	1244
abcc3	8714
abcc4	10257
abcc5	10057
abcc6	368
abcc7	1080
abcc8	6833
abcc9	10060
abcd-1	6367
abcd-2	6361
abcd-3	6376
abcd1	215
abcd2	225
abcd3	5825
abcd4	5826
